pokedex_entry,name,region,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed
125,Electabuzz,Kanto,1,Normal,Electric Pokémon,1,Electric,,1.1,30,2,Static,,Vital Spirit,65,83,57,95,85,105
126,Magmar,Kanto,1,Normal,Spitfire Pokémon,1,Fire,,1.3,44.5,2,Flame Body,,Vital Spirit,65,95,57,100,85,93
127,Pinsir,Kanto,1,Normal,Stag Beetle Pokémon,1,Bug,,1.5,55,3,Hyper Cutter,Mold Breaker,Moxie,65,125,100,55,70,85
127,Mega Pinsir,Kanto,1,Normal,Stag Beetle Pokémon,2,Bug,Flying,1.7,59,1,Aerilate,,,65,155,120,65,90,105
128,Tauros,Kanto,1,Normal,Wild Bull Pokémon,1,Normal,,1.4,88.4,3,Intimidate,Anger Point,Sheer Force,75,100,95,40,70,110
129,Magikarp,Kanto,1,Normal,Fish Pokémon,1,Water,,0.9,10,2,Swift Swim,,Rattled,20,10,55,15,20,80
130,Gyarados,Kanto,1,Normal,Atrocious Pokémon,2,Water,Flying,6.5,235,2,Intimidate,,Moxie,95,125,79,60,100,81
130,Mega Gyarados,Kanto,1,Normal,Atrocious Pokémon,2,Water,Dark,6.5,305,1,Mold Breaker,,,95,155,109,70,130,81
131,Lapras,Kanto,1,Normal,Transport Pokémon,2,Water,Ice,2.5,220,3,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60
132,Ditto,Kanto,1,Normal,Transform Pokémon,1,Normal,,0.3,4,2,Limber,,Imposter,48,48,48,48,48,48
133,Eevee,Kanto,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,3,Run Away,Adaptability,Anticipation,55,55,50,45,65,55
133,Partner Eevee,Kanto,1,Normal,Evolution Pokémon,1,Normal,,0.3,6.5,1,,,Anticipation,65,75,70,65,85,75
134,Vaporeon,Kanto,1,Normal,Bubble Jet Pokémon,1,Water,,1,29,2,Water Absorb,,Hydration,130,65,60,110,95,65
135,Jolteon,Kanto,1,Normal,Lightning Pokémon,1,Electric,,0.8,24.5,2,Volt Absorb,,Quick Feet,65,65,60,110,95,130
136,Flareon,Kanto,1,Normal,Flame Pokémon,1,Fire,,0.9,25,2,Flash Fire,,Guts,65,130,60,95,110,65
137,Porygon,Kanto,1,Normal,Virtual Pokémon,1,Normal,,0.8,36.5,3,Trace,Download,Analytic,65,60,70,85,75,40
138,Omanyte,Kanto,1,Normal,Spiral Pokémon,2,Rock,Water,0.4,7.5,3,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35
139,Omastar,Kanto,1,Normal,Spiral Pokémon,2,Rock,Water,1,35,3,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55
140,Kabuto,Kanto,1,Normal,Shellfish Pokémon,2,Rock,Water,0.5,11.5,3,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55
141,Kabutops,Kanto,1,Normal,Shellfish Pokémon,2,Rock,Water,1.3,40.5,3,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80
142,Aerodactyl,Kanto,1,Normal,Fossil Pokémon,2,Rock,Flying,1.8,59,3,Rock Head,Pressure,Unnerve,80,105,65,60,75,130
142,Mega Aerodactyl,Kanto,1,Normal,Fossil Pokémon,2,Rock,Flying,2.1,79,1,Tough Claws,,,80,135,85,70,95,150
143,Snorlax,Kanto,1,Normal,Sleeping Pokémon,1,Normal,,2.1,460,3,Immunity,Thick Fat,Gluttony,160,110,65,65,110,30
144,Articuno,Kanto,1,Sub Legendary,Freeze Pokémon,2,Ice,Flying,1.7,55.4,2,Pressure,,Snow Cloak,90,85,100,95,125,85
