pokedex_number,name,region,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles
50,Diglett,Kanto,1,Normal,Mole Pokémon,1,Ground,,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265,10,55,25,35,45,95,255,70,53,Medium Fast,1,Field,,50,20
50,Alolan Diglett,Kanto,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1,3,Sand Veil,Tangling Hair,Sand Force,265,10,55,30,35,45,90,255,70,53,Medium Fast,1,Field,,50,20
51,Dugtrio,Kanto,1,Normal,Mole Pokémon,1,Ground,,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425,35,100,50,50,70,120,50,70,149,Medium Fast,1,Field,,50,20
51,Alolan Dugtrio,Kanto,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425,35,100,60,50,70,110,50,70,149,Medium Fast,1,Field,,50,20
52,Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Normal,,0.4,4.2,3,Pickup,Technician,Unnerve,290,40,45,35,40,40,90,255,70,58,Medium Fast,1,Field,,50,20
52,Alolan Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Dark,,0.4,4.2,3,Pickup,Technician,Rattled,290,40,35,35,50,40,90,255,70,58,Medium Fast,1,Field,,50,20
52,Galarian Meowth,Kanto,1,Normal,Scratch Cat Pokémon,1,Steel,,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290,50,65,55,40,40,40,,,,Medium Fast,1,Field,,,20
53,Persian,Kanto,1,Normal,Classy Cat Pokémon,1,Normal,,1,32,3,Limber,Technician,Unnerve,440,65,70,60,65,65,115,90,70,154,Medium Fast,1,Field,,50,20
53,Alolan Persian,Kanto,1,Normal,Classy Cat Pokémon,1,Dark,,1.1,33,3,Fur Coat,Technician,Rattled,440,65,60,60,75,65,115,90,70,154,Medium Fast,1,Field,,50,20
54,Psyduck,Kanto,1,Normal,Duck Pokémon,1,Water,,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320,50,52,48,65,50,55,190,70,64,Medium Fast,2,Field,Water 1,50,20
55,Golduck,Kanto,1,Normal,Duck Pokémon,1,Water,,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500,80,82,78,95,80,85,75,70,175,Medium Fast,2,Field,Water 1,50,20
56,Mankey,Kanto,1,Normal,Pig Monkey Pokémon,1,Fighting,,0.5,28,3,Vital Spirit,Anger Point,Defiant,305,40,80,35,35,45,70,190,70,61,Medium Fast,1,Field,,50,20
57,Primeape,Kanto,1,Normal,Pig Monkey Pokémon,1,Fighting,,1,32,3,Vital Spirit,Anger Point,Defiant,455,65,105,60,60,70,95,75,70,159,Medium Fast,1,Field,,50,20
58,Growlithe,Kanto,1,Normal,Puppy Pokémon,1,Fire,,0.7,19,3,Intimidate,Flash Fire,Justified,350,55,70,45,70,50,60,190,70,70,Slow,1,Field,,75,20
59,Arcanine,Kanto,1,Normal,Legendary Pokémon,1,Fire,,1.9,155,3,Intimidate,Flash Fire,Justified,555,90,110,80,100,80,95,75,70,194,Slow,1,Field,,75,20
60,Poliwag,Kanto,1,Normal,Tadpole Pokémon,1,Water,,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300,40,50,40,40,40,90,255,70,60,Medium Slow,1,Water 1,,50,20
61,Poliwhirl,Kanto,1,Normal,Tadpole Pokémon,1,Water,,1,20,3,Water Absorb,Damp,Swift Swim,385,65,65,65,50,50,90,120,70,135,Medium Slow,1,Water 1,,50,20
62,Poliwrath,Kanto,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54,3,Water Absorb,Damp,Swift Swim,510,90,95,95,70,90,70,45,70,230,Medium Slow,1,Water 1,,50,20
63,Abra,Kanto,1,Normal,Psi Pokémon,1,Psychic,,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310,25,20,15,105,55,90,200,70,62,Medium Slow,1,Human-Like,,75,20
64,Kadabra,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400,40,35,30,120,70,105,100,70,140,Medium Slow,1,Human-Like,,75,20
65,Alakazam,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.5,48,3,Synchronize,Inner Focus,Magic Guard,500,55,50,45,135,95,120,50,70,225,Medium Slow,1,Human-Like,,75,20
65,Mega Alakazam,Kanto,1,Normal,Psi Pokémon,1,Psychic,,1.2,48,1,Trace,,,600,55,50,65,175,105,150,50,70,270,Medium Slow,1,Human-Like,,75,20
66,Machop,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,0.8,19.5,3,Guts,No Guard,Steadfast,305,70,80,50,35,35,35,180,70,61,Medium Slow,1,Human-Like,,75,20
67,Machoke,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,1.5,70.5,3,Guts,No Guard,Steadfast,405,80,100,70,50,60,45,90,70,142,Medium Slow,1,Human-Like,,75,20
68,Machamp,Kanto,1,Normal,Superpower Pokémon,1,Fighting,,1.6,130,3,Guts,No Guard,Steadfast,505,90,130,80,65,85,55,45,70,227,Medium Slow,1,Human-Like,,75,20
69,Bellsprout,Kanto,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4,2,Chlorophyll,,Gluttony,300,50,75,35,70,30,40,255,70,60,Medium Slow,1,Grass,,50,20
70,Weepinbell,Kanto,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1,6.4,2,Chlorophyll,,Gluttony,390,65,90,50,85,45,55,120,70,137,Medium Slow,1,Grass,,50,20
71,Victreebel,Kanto,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,,Gluttony,490,80,105,65,100,70,70,45,70,221,Medium Slow,1,Grass,,50,20
72,Tentacool,Kanto,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335,40,40,35,50,100,70,190,70,67,Slow,1,Water 3,,50,20
73,Tentacruel,Kanto,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55,3,Clear Body,Liquid Ooze,Rain Dish,515,80,70,65,80,120,100,60,70,180,Slow,1,Water 3,,50,20
74,Geodude,Kanto,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20,3,Rock Head,Sturdy,Sand Veil,300,40,80,100,30,30,20,255,70,60,Medium Slow,1,Mineral,,50,15
74,Alolan Geodude,Kanto,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300,40,80,100,30,30,20,255,70,60,Medium Slow,1,Mineral,,50,15
75,Graveler,Kanto,1,Normal,Rock Pokémon,2,Rock,Ground,1,105,3,Rock Head,Sturdy,Sand Veil,390,55,95,115,45,45,35,120,70,137,Medium Slow,1,Mineral,,50,15
75,Alolan Graveler,Kanto,1,Normal,Rock Pokémon,2,Rock,Electric,1,110,3,Magnet Pull,Sturdy,Galvanize,390,55,95,115,45,45,35,120,70,137,Medium Slow,1,Mineral,,50,15
76,Golem,Kanto,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300,3,Rock Head,Sturdy,Sand Veil,495,80,120,130,55,65,45,45,70,223,Medium Slow,1,Mineral,,50,15
76,Alolan Golem,Kanto,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316,3,Magnet Pull,Sturdy,Galvanize,495,80,120,130,55,65,45,45,70,223,Medium Slow,1,Mineral,,50,15
77,Ponyta,Kanto,1,Normal,Fire Horse Pokémon,1,Fire,,1,30,3,Run Away,Flash Fire,Flame Body,410,50,85,55,65,65,90,190,70,82,Medium Fast,1,Field,,50,20
77,Galarian Ponyta,Kanto,1,Normal,Unique Horn Pokémon,1,Psychic,,0.8,24,3,Run Away,Pastel Veil,Anticipation,410,50,85,55,65,65,90,,,,Medium Fast,1,Field,,,20
78,Rapidash,Kanto,1,Normal,Fire Horse Pokémon,1,Fire,,1.7,95,3,Run Away,Flash Fire,Flame Body,500,65,100,70,80,80,105,60,70,175,Medium Fast,1,Field,,50,20
78,Galarian Rapidash,Kanto,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80,3,Run Away,Pastel Veil,Anticipation,500,65,100,70,80,80,105,,,,Medium Fast,1,Field,,,20
79,Slowpoke,Kanto,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36,3,Oblivious,Own Tempo,Regenerator,315,90,65,65,40,40,15,190,70,63,Medium Fast,2,Monster,Water 1,50,20
80,Slowbro,Kanto,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,110,100,80,30,75,70,172,Medium Fast,2,Monster,Water 1,50,20
80,Mega Slowbro,Kanto,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,2,120,1,Shell Armor,,,590,95,75,180,130,80,30,75,70,207,Medium Fast,2,Monster,Water 1,50,20
81,Magnemite,Kanto,1,Normal,Magnet Pokémon,2,Electric,Steel,0.3,6,3,Magnet Pull,Sturdy,Analytic,325,25,35,70,95,55,45,190,70,65,Medium Fast,1,Mineral,,,20
82,Magneton,Kanto,1,Normal,Magnet Pokémon,2,Electric,Steel,1,60,3,Magnet Pull,Sturdy,Analytic,465,50,60,95,120,70,70,60,70,163,Medium Fast,1,Mineral,,,20
83,Farfetch'd,Kanto,1,Normal,Wild Duck Pokémon,2,Normal,Flying,0.8,15,3,Keen Eye,Inner Focus,Defiant,377,52,90,55,58,62,60,45,70,132,Medium Fast,2,Field,Flying,50,20
83,Galarian Farfetch'd,Kanto,1,Normal,Wild Duck Pokémon,1,Fighting,,0.8,42,2,Steadfast,,Scrappy,377,52,95,55,58,62,55,,,,Medium Fast,2,Field,Flying,,20
84,Doduo,Kanto,1,Normal,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310,35,85,45,35,35,75,190,70,62,Medium Fast,1,Flying,,50,20
85,Dodrio,Kanto,1,Normal,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470,60,110,70,60,60,110,45,70,165,Medium Fast,1,Flying,,50,20
86,Seel,Kanto,1,Normal,Sea Lion Pokémon,1,Water,,1.1,90,3,Thick Fat,Hydration,Ice Body,325,65,45,55,45,70,45,190,70,65,Medium Fast,2,Field,Water 1,50,20
87,Dewgong,Kanto,1,Normal,Sea Lion Pokémon,2,Water,Ice,1.7,120,3,Thick Fat,Hydration,Ice Body,475,90,70,80,70,95,70,75,70,166,Medium Fast,2,Field,Water 1,50,20
88,Grimer,Kanto,1,Normal,Sludge Pokémon,1,Poison,,0.9,30,3,Stench,Sticky Hold,Poison Touch,325,80,80,50,40,50,25,190,70,65,Medium Fast,1,Amorphous,,50,20
88,Alolan Grimer,Kanto,1,Normal,Sludge Pokémon,2,Poison,Dark,0.7,42,3,Poison Touch,Gluttony,Power of Alchemy,325,80,80,50,40,50,25,190,70,65,Medium Fast,1,Amorphous,,50,20
89,Muk,Kanto,1,Normal,Sludge Pokémon,1,Poison,,1.2,30,3,Stench,Sticky Hold,Poison Touch,500,105,105,75,65,100,50,75,70,175,Medium Fast,1,Amorphous,,50,20
89,Alolan Muk,Kanto,1,Normal,Sludge Pokémon,2,Poison,Dark,1,52,3,Poison Touch,Gluttony,Power of Alchemy,500,105,105,75,65,100,50,75,70,175,Medium Fast,1,Amorphous,,50,20
90,Shellder,Kanto,1,Normal,Bivalve Pokémon,1,Water,,0.3,4,3,Shell Armor,Skill Link,Overcoat,305,30,65,100,45,25,40,190,70,61,Slow,1,Water 3,,50,20
91,Cloyster,Kanto,1,Normal,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525,50,95,180,85,45,70,60,70,184,Slow,1,Water 3,,50,20
92,Gastly,Kanto,1,Normal,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,,,310,30,35,30,100,35,80,190,70,62,Medium Slow,1,Amorphous,,50,20
93,Haunter,Kanto,1,Normal,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,,,405,45,50,45,115,55,95,90,70,142,Medium Slow,1,Amorphous,,50,20
94,Gengar,Kanto,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,,,500,60,65,60,130,75,110,45,70,225,Medium Slow,1,Amorphous,,50,20
94,Mega Gengar,Kanto,1,Normal,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,,,600,60,65,80,170,95,130,45,70,270,Medium Slow,1,Amorphous,,50,20
95,Onix,Kanto,1,Normal,Rock Snake Pokémon,2,Rock,Ground,8.8,210,3,Rock Head,Sturdy,Weak Armor,385,35,45,160,30,45,70,45,70,77,Medium Fast,1,Mineral,,50,25
96,Drowzee,Kanto,1,Normal,Hypnosis Pokémon,1,Psychic,,1,32.4,3,Insomnia,Forewarn,Inner Focus,328,60,48,45,43,90,42,190,70,66,Medium Fast,1,Human-Like,,50,20
97,Hypno,Kanto,1,Normal,Hypnosis Pokémon,1,Psychic,,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483,85,73,70,73,115,67,75,70,169,Medium Fast,1,Human-Like,,50,20
98,Krabby,Kanto,1,Normal,River Crab Pokémon,1,Water,,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325,30,105,90,25,25,50,225,70,65,Medium Fast,1,Water 3,,50,20
99,Kingler,Kanto,1,Normal,Pincer Pokémon,1,Water,,1.3,60,3,Hyper Cutter,Shell Armor,Sheer Force,475,55,130,115,50,50,75,60,70,166,Medium Fast,1,Water 3,,50,20
100,Voltorb,Kanto,1,Normal,Ball Pokémon,1,Electric,,0.5,10.4,3,Soundproof,Static,Aftermath,330,40,30,50,55,55,100,190,70,66,Medium Fast,1,Mineral,,,20
101,Electrode,Kanto,1,Normal,Ball Pokémon,1,Electric,,1.2,66.6,3,Soundproof,Static,Aftermath,490,60,50,70,80,80,150,60,70,172,Medium Fast,1,Mineral,,,20
102,Exeggcute,Kanto,1,Normal,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,,Harvest,325,60,40,80,60,45,40,90,70,65,Slow,1,Grass,,50,20
103,Exeggutor,Kanto,1,Normal,Coconut Pokémon,2,Grass,Psychic,2,120,2,Chlorophyll,,Harvest,530,95,95,85,125,75,55,45,70,186,Slow,1,Grass,,50,20
